"branch_id","plant_id","plant_num","orientation","farmer","plot_id","plot_type","fert_trt","shd_trt","per_thin","n1i_tot_len","n1i_new_len","n1i_diam","n1i_tot_nod","n1i_new_nod","n1i_frtd_nod","n1i_frt","n1i_tot_lvs","n1i_sick_lvs","n1i_sick_type","n1i_pot_nod","n1i_frt_pot_nod","potnod_v_frtnod","n1i_ffnod","n1h_tot_len","n1h_new_len","n1h_diam","n1h_tot_nod","n1h_new_nod","n1h_frtd_nod","n1h_frt","n1h_tot_lvs","n1h_sick_lvs","n1h_sick_type","n1_anth","n1_lat","n1_dens","plot_thin"
"1621","142","54","N","Miguel","X7","hsun","h","sun","0",32,8.5,5,15,6,9,82,15,2,"o",9,9.111111111,0,9.111111111,33,11.5,5.5,16,9,7,82,18,1,"o","n",2,53,"0 hsun"
"1622","142","54","S","Miguel","X7","hsun","h","sun","0",33.5,9,5,14,5,9,121,10,2,"o",9,13.44444444,0,13.44444444,41.5,17.5,5.5,18,8,10,70,17,3,"o","n",0,40,"0 hsun"
"1623","142","54","E","Miguel","X7","hsun","h","sun","0",25.5,9.5,4.5,10,5,5,55,11,0,"na",5,11,0,11,40,24,6,17,12,5,53,16,3,"o","n",0,128,"0 hsun"
"1624","142","54","W","Miguel","X7","hsun","h","sun","0",30,8.5,3.5,12,5,7,31,10,2,"o",7,4.428571429,0,4.428571429,37,17,4.5,16,9,5,16,11,4,"or","n",0,140,"0 hsun"
"1625","143","55","N","Miguel","X7","hsun","h","sun","66",15.5,1,3,5,1,4,44,5,0,"na",4,11,0,11,17,5,3.5,7,3,4,23,5,1,"r","n",0,47,"66 hsun"
"1626","143","55","S","Miguel","X7","hsun","h","sun","66",37.5,8,5,14,5,9,62,13,0,"na",9,6.888888889,0,6.888888889,56,28,6,21,12,7,25,15,2,"o","n",7,53,"66 hsun"
"1627","143","55","E","Miguel","X7","hsun","h","sun","66",25,8,4,8,4,4,25,7,0,"na",4,6.25,0,6.25,27,19,5,11,9,2,8,0,0,"na","y",0,112,"66 hsun"
"1628","143","55","W","Miguel","X7","hsun","h","sun","66",34.5,8.5,4,13,5,8,84,15,2,"u",8,10.5,0,10.5,36.5,13,5.5,14,7,7,52,4,0,"na","n",2,170,"66 hsun"
"1629","144","56","N","Miguel","X7","hsun","h","sun","0",26.5,12.5,4,9,6,3,22,13,0,"na",3,7.333333333,0,7.333333333,34,22,4.5,12,9,2,10,8,3,"o","y",1,63,"0 hsun"
"1630","144","56","S","Miguel","X7","hsun","h","sun","0",32,11.5,3.5,11,5,6,49,13,1,"u",6,8.166666667,0,8.166666667,46,24,4,17,10,7,18,17,5,"ou","n",0,113,"0 hsun"
"1631","144","56","E","Miguel","X7","hsun","h","sun","0",24,8,4,11,5,6,45,8,1,"u",6,7.5,0,7.5,31.5,16,4,15,8,7,29,6,2,"o","n",0,47,"0 hsun"
"1632","144","56","W","Miguel","X7","hsun","h","sun","0",30,6.5,4.5,13,5,8,96,14,1,"u",8,12,0,12,37,15.5,4.5,17,9,7,8,14,3,"o","n",0,146,"0 hsun"
"1633","145","57","N","Miguel","X7","hsun","h","sun","66",44,8,5,14,4,7,72,7,1,"u",10,7.2,3,10.28571429,57.5,24,7,18,9,7,38,14,1,"u","n",2,74,"66 hsun"
"1634","145","57","S","Miguel","X7","hsun","h","sun","66",31,7.5,3.5,10,5,5,49,11,0,"na",5,9.8,0,9.8,34,12,4,11,6,5,29,11,3,"ou","n",0,118,"66 hsun"
"1635","145","57","E","Miguel","X7","hsun","h","sun","66",28,7.5,3.5,11,4,7,40,10,0,"na",7,5.714285714,0,5.714285714,46,27,5,19,10,7,36,14,2,"u","n",2,63,"66 hsun"
"1636","145","57","W","Miguel","X7","hsun","h","sun","66",32.5,9,4.5,10,5,5,65,12,0,"na",5,13,0,13,45.5,23,5,16,11,5,36,20,2,"u","n",4,160,"66 hsun"
"1637","146","58","N","Miguel","X7","hsun","h","sun","33",38,12.5,4,16,6,10,40,16,0,"na",10,4,0,4,59,38,5,22,14,6,9,24,1,"o","n",1,140,"33 hsun"
"1638","146","58","S","Miguel","X7","hsun","h","sun","33",35,19.5,4.5,15,8,6,32,8,0,"na",7,4.571428571,1,5.333333333,53,37.5,5.5,22,15,3,8,17,2,"ru","n",2,89,"33 hsun"
"1639","146","58","E","Miguel","X7","hsun","h","sun","33",30.5,7,4,14,5,7,78,9,0,"na",9,8.666666667,2,11.14285714,33.5,11,5,17,7,7,47,11,4,"u","n",0,52,"33 hsun"
"1640","146","58","W","Miguel","X7","hsun","h","sun","33",23.5,2.5,4,12,2,10,48,6,0,"na",10,4.8,0,4.8,24,3.5,4.5,13,3,10,23,3,0,"na","n",0,146,"33 hsun"
"1641","147","59","N","Miguel","X7","hsun","h","sun","66",29.5,5,5,12,3,6,40,11,2,"u",9,4.444444444,3,6.666666667,32.5,11,6,20,12,7,35,12,2,"u","n",3,68,"66 hsun"
"1642","147","59","S","Miguel","X7","hsun","h","sun","66",29.5,6.5,4,11,4,6,45,13,1,"u",7,6.428571429,1,7.5,41.5,18,5.5,17,10,6,10,14,4,"o","n",1,135,"66 hsun"
"1643","147","59","E","Miguel","X7","hsun","h","sun","66",27,2.5,4,11,3,8,77,6,0,"na",8,9.625,0,9.625,45,20,4.5,17,11,5,15,11,3,"o","n",3,75,"66 hsun"
"1644","147","59","W","Miguel","X7","hsun","h","sun","66",24,4,4,9,0,9,86,6,1,"u",9,9.555555556,0,9.555555556,24,4,5,10,2,8,42,1,0,"na","y",0,176,"66 hsun"
"1645","148","60","N","Miguel","X7","hsun","h","sun","33",29.5,8.5,4,13,6,6,36,8,1,"u",7,5.142857143,1,6,50,29.5,6,18,11,6,18,17,1,"u","n",5,154,"33 hsun"
"1646","148","60","S","Miguel","X7","hsun","h","sun","33",27.5,10,3,12,6,5,24,8,0,"na",6,4,1,4.8,41,23.5,4,16,10,5,13,11,5,"o","n",0,75,"33 hsun"
"1647","148","60","E","Miguel","X7","hsun","h","sun","33",34,8,5,15,6,6,37,11,0,"na",9,4.111111111,3,6.166666667,34,10,4,15,6,6,22,6,2,"u","n",0,139,"33 hsun"
"1648","148","60","W","Miguel","X7","hsun","h","sun","33",30,5.5,4,14,5,8,71,8,0,"na",9,7.888888889,1,8.875,35.5,13.5,4.5,17,9,7,33,7,3,"o","n",0,76,"33 hsun"
"1649","149","61","N","Miguel","X7","hsun","h","sun","33",31.5,10,3.5,12,5,7,54,11,3,"u",7,7.714285714,0,7.714285714,36,19,4.5,13,7,5,13,8,1,"o","n",0,58,"33 hsun"
"1650","149","61","S","Miguel","X7","hsun","h","sun","33",24,7.5,4,10,5,4,24,14,1,"u",5,4.8,1,6,26,8.5,4.5,11,5,5,29,12,0,"na","n",0,77,"33 hsun"
"1651","149","61","E","Miguel","X7","hsun","h","sun","33",20,3.5,3.5,8,2,6,26,9,4,"u",6,4.333333333,0,4.333333333,19,4,3,9,3,6,16,5,0,"na","n",0,110,"33 hsun"
"1652","149","61","W","Miguel","X7","hsun","h","sun","33",32,8,4,12,5,6,49,13,0,"na",7,7,1,8.166666667,34.5,10,4.5,13,7,5,22,11,0,"na","n",0,171,"33 hsun"
"1653","150","62","N","Miguel","X7","hsun","h","sun","0",39.5,13,4,15,7,5,15,11,2,"u",8,1.875,3,3,46,42,4.5,15,14,1,2,0,0,"na","y",4,89,"0 hsun"
"1654","150","62","S","Miguel","X7","hsun","h","sun","0",31,9,4.5,12,6,5,27,12,1,"u",6,4.5,1,5.4,30,18,3.5,12,8,2,4,3,2,"o","y",3,110,"0 hsun"
"1655","150","62","E","Miguel","X7","hsun","h","sun","0",24,7,3,11,5,5,17,10,1,"u",6,2.833333333,1,3.4,29.5,17,4,13,9,4,12,0,0,"na","y",0,58,"0 hsun"
"1656","150","62","W","Miguel","X7","hsun","h","sun","0",33,9.5,5.5,14,6,8,83,8,0,"na",8,10.375,0,10.375,39,13.5,4.5,17,10,7,41,5,0,"na","n",0,212,"0 hsun"
"1657","151","63","N","Miguel","X7","hsun","h","sun","66",29,4,4,13,5,8,93,7,1,"u",8,11.625,0,11.625,35,11,5.5,16,8,8,42,9,4,"ou","n",0,74,"66 hsun"
"1658","151","63","S","Miguel","X7","hsun","h","sun","66",26.5,6,4,11,4,7,52,5,1,"u",7,7.428571429,0,7.428571429,29,10,5,14,7,7,27,4,2,"ou","n",0,89,"66 hsun"
"1659","151","63","E","Miguel","X7","hsun","h","sun","66",28,6.5,4,13,5,7,103,10,0,"na",8,12.875,1,14.71428571,27,6.5,NA,12,5,7,60,2,2,"or","y",0,162,"66 hsun"
"1660","151","63","W","Miguel","X7","hsun","h","sun","66",27.5,13,3,11,7,4,25,6,0,"na",4,6.25,0,6.25,32,17,4,12,8,4,16,7,0,"na","n",0,175,"66 hsun"
"1661","152","64","N","Miguel","X7","hsun","h","sun","0",32.5,8,4,11,5,6,37,8,3,"u",6,6.166666667,0,6.166666667,38.5,20,4.5,17,10,5,19,14,5,"o","n",0,108,"0 hsun"
"1662","152","64","S","Miguel","X7","hsun","h","sun","0",24.5,9,5,9,6,3,17,14,0,"na",3,5.666666667,0,5.666666667,27.5,17,3.5,12,9,2,5,13,0,"na","n",0,74,"0 hsun"
"1663","152","64","E","Miguel","X7","hsun","h","sun","0",33.5,8,5,13,5,8,71,9,0,"na",8,8.875,0,8.875,47,19.5,5,19,11,8,28,14,3,"o","n",0,44,"0 hsun"
"1664","152","64","W","Miguel","X7","hsun","h","sun","0",39,8,6,12,4,7,49,12,3,"u",8,6.125,1,7,53.5,22,5,17,9,7,30,19,3,"o","n",0,163,"0 hsun"
"1665","153","65","N","Miguel","X7","hsun","h","sun","33",39.5,12.5,4.5,15,8,7,53,6,0,"na",7,7.571428571,0,7.571428571,30,12,5,12,7,5,33,4,0,"na","n",0,80,"33 hsun"
"1666","153","65","S","Miguel","X7","hsun","h","sun","33",34,7,4.5,13,4,7,39,12,1,"u",9,4.333333333,2,5.571428571,35,8,4,12,4,8,26,4,3,"r","n",0,40,"33 hsun"
"1667","153","65","E","Miguel","X7","hsun","h","sun","33",24,9,5,11,6,5,18,9,0,"na",5,3.6,0,3.6,25,11,4,11,7,4,8,3,1,"o","n",0,174,"33 hsun"
"1668","153","65","W","Miguel","X7","hsun","h","sun","33",31.5,9.5,4,11,5,6,45,9,0,"na",6,7.5,0,7.5,38,17,5.5,14,8,6,30,1,0,"na","n",0,187,"33 hsun"
"1669","154","66","N","Miguel","X7","hsun","h","sun","0",24.5,6,4,11,4,7,44,12,0,"na",7,6.285714286,0,6.285714286,30,13,4,14,8,6,28,9,0,"na","n",0,40,"0 hsun"
"1670","154","66","S","Miguel","X7","hsun","h","sun","0",30,8,4.5,11,5,6,47,9,2,"ou",6,7.833333333,0,7.833333333,42.5,23,5.5,17,11,5,25,15,4,"o","n",2,119,"0 hsun"
"1671","154","66","E","Miguel","X7","hsun","h","sun","0",23,10.5,4,9,7,2,18,11,0,"na",2,9,0,9,32.5,21.5,5,14,11,3,7,17,3,"u","n",1,125,"0 hsun"
"1672","154","66","W","Miguel","X7","hsun","h","sun","0",41,7.5,5,16,5,9,79,13,3,"ou",11,7.181818182,2,8.777777778,23,11,5.5,8,3,4,23,0,0,"na","y",1,164,"0 hsun"
"1673","155","67","N","Miguel","X8","lsun","l","sun","66",33.5,8,4,16,5,10,97,11,0,"na",11,8.818181818,1,9.7,37.5,13,4.5,17,7,9,63,8,1,"o","n",0,107.5,"66 lsun"
"1674","155","67","S","Miguel","X8","lsun","l","sun","66",39.5,10,5.5,11,5,6,21,14,1,"u",6,3.5,0,3.5,54,23,6,17,8,6,16,9,1,"o","n",5,112,"66 lsun"
"1675","155","67","E","Miguel","X8","lsun","l","sun","66",25,9.5,4,17,4,11,47,9,2,"u",13,3.615384615,2,4.272727273,31,18,4.5,18,11,7,16,9,0,"na","n",0,98.5,"66 lsun"
"1676","155","67","W","Miguel","X8","lsun","l","sun","66",29,12,4,13,6,7,53,12,0,"na",7,7.571428571,0,7.571428571,30,13,4.5,12,6,6,26,7,0,"na","n",0,113,"66 lsun"
"1677","156","68","N","Miguel","X8","lsun","l","sun","0",28.5,9,4,12,5,7,34,11,0,"na",7,4.857142857,0,4.857142857,32,13,5,14,7,7,33,8,3,"r","n",0,138.5,"0 lsun"
"1678","156","68","S","Miguel","X8","lsun","l","sun","0",31,8,4,13,5,8,41,9,0,"na",8,5.125,0,5.125,37.5,16.5,5.5,18,9,7,21,8,4,"o","n",2,87,"0 lsun"
"1679","156","68","E","Miguel","X8","lsun","l","sun","0",14,3,3.5,5,1,4,9,0,0,"na",4,2.25,0,2.25,13.5,8.5,3.5,6,4,1,2,0,0,"na","y",0,89.5,"0 lsun"
"1680","156","68","W","Miguel","X8","lsun","l","sun","0",26.5,10,5,10,6,4,19,15,2,"u",4,4.75,0,4.75,42,21.5,4.5,15,9,6,13,14,6,"or","n",1,78,"0 lsun"
"1681","157","69","N","Miguel","X8","lsun","l","sun","66",26,6,4,11,4,7,44,11,0,"na",7,6.285714286,0,6.285714286,26.5,11,4.5,15,8,6,33,4,2,"o","n",0,63,"66 lsun"
"1682","157","69","S","Miguel","X8","lsun","l","sun","66",39,6.5,5,15,5,10,132,14,2,"u",10,13.2,0,13.2,37,5,5,14,4,10,119,5,4,"o","n",0,126,"66 lsun"
"1683","157","69","E","Miguel","X8","lsun","l","sun","66",33.5,6.5,5,12,4,8,132,13,3,"u",8,16.5,0,16.5,38,10.5,4.5,16,8,8,141,5,3,"ou","n",0,75,"66 lsun"
"1684","157","69","W","Miguel","X8","lsun","l","sun","66",32,8,4,14,5,9,91,12,3,"u",9,10.11111111,0,10.11111111,37,13.5,7,15,6,9,69,3,3,"r","y",0,78,"66 lsun"
"1685","158","70","N","Miguel","X8","lsun","l","sun","33",26,4.5,4,10,4,6,23,6,0,"na",6,3.833333333,0,3.833333333,44.5,14,5,16,8,7,14,9,5,"or","n",0,63,"33 lsun"
"1686","158","70","S","Miguel","X8","lsun","l","sun","33",32,8.5,5,16,6,8,62,11,2,"ru",10,6.2,2,7.75,39,17,5.5,20,10,8,42,8,4,"o","n",0,91.5,"33 lsun"
"1687","158","70","E","Miguel","X8","lsun","l","sun","33",13,3,3.5,6,2,4,33,7,0,"na",4,8.25,0,8.25,13,3,3,7,3,4,13,3,0,"na","n",0,94,"33 lsun"
"1688","158","70","W","Miguel","X8","lsun","l","sun","33",18,3,3.5,8,2,6,39,8,2,"u",6,6.5,0,6.5,21,7,4,9,3,6,31,8,3,"r","n",0,78,"33 lsun"
"1689","159","71","N","Miguel","X8","lsun","l","sun","0",25,10,4.5,13,7,6,23,4,1,"u",6,3.833333333,0,3.833333333,24.5,15,4.5,NA,8,5,12,1,1,"r","n",2,94,"0 lsun"
"1690","159","71","S","Miguel","X8","lsun","l","sun","0",28,9.5,4.5,14,7,7,22,11,1,"r",7,3.142857143,0,3.142857143,32,18,4.5,16,10,6,11,8,3,"or","n",0,106,"0 lsun"
"1691","159","71","E","Miguel","X8","lsun","l","sun","0",27,9,4,13,6,7,42,9,0,"na",7,6,0,6,34.5,17,5,16,9,7,21,3,2,"y","y",0,105,"0 lsun"
