branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1h_len,e1h_tot_nod,e1h_frt_nod,e1h_tot_fruit,e1h_tot_lvs,e2f_len,e2f_tot_nod,e2f_flor_nod,e2f_buds,e2f_lvs,e2i_len,e2i_tot_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2h_len,e2h_tot_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs
35,9,9,E,Fernando,X1,hshd,h,shd,0,41.5,14,10,NA,55,10,46,16,7,29,11,46,16,0,0,5,51,20,1,1,11,27,14,5,17,10
36,9,9,W,Fernando,X1,hshd,h,shd,0,43.5,13,9,NA,90,18,47,15,9,70,5,46.5,15,0,0,2,47,17,0,0,4,4,17,9,54,16
37,10,10,N,Fernando,X1,hshd,h,shd,66,27,9,5,36,13,13,29.5,11,1,14,9,29.5,11,7,37,4,36,15,6,31,7,37,16,5,19,10
38,10,10,S,Fernando,X1,hshd,h,shd,66,41.5,15,12,64,21,10,63,24,3,16,17,66.5,22,10,77,12,68,28,9,73,13,79,29,9,43,12
39,10,10,E,Fernando,X1,hshd,h,shd,66,28,10,5,28,13,6,47,15,1,7,15,48,16,11,166,12,52.5,20,10,146,9,52,18,10,77,5
40,10,10,W,Fernando,X1,hshd,h,shd,66,19.5,7,4,32,11,4,27,11,2,2,9,28,11,7,49,3,29,12,6,40,3,28,12,5,12,0
41,11,11,N,Fernando,X1,hshd,h,shd,0,39.5,13,7,NA,35,11,48,17,5,13,2,48,17,0,0,0,49,17,0,0,0,44,15,0,0,0
42,11,11,S,Fernando,X1,hshd,h,shd,0,35,12,9,NA,143,9,35,12,6,20,6,32,9,0,0,0,30,9,0,0,0,29,19,0,0,0
43,11,11,E,Fernando,X1,hshd,h,shd,0,35,13,9,NA,42,10,33,12,8,53,0,36,15,0,0,0,37,15,0,0,4,37,17,0,0,2
44,11,11,W,Fernando,X1,hshd,h,shd,0,30,10,8,NA,50,10,30.5,9,5,28,8,30,9,0,0,2,31,9,0,0,0,30,10,0,0,0
45,12,12,N,Fernando,X1,hshd,h,shd,0,43,14,10,NA,37,13,56,19,9,26,16,59,22,9,48,8,63,24,6,31,12,69.5,27,5,25,9
46,12,12,S,Fernando,X1,hshd,h,shd,0,40,13,9,NA,65,8,53,18,8,51,13,56,18,9,74,5,54,21,8,81,5,57,23,7,50,1
47,12,12,E,Fernando,X1,hshd,h,shd,0,29,9,6,NA,33,12,51,16,6,30,16,50,18,10,106,3,48,19,8,99,6,50,22,8,79,0
48,12,12,W,Fernando,X1,hshd,h,shd,0,37.5,15,10,NA,43,12,51,19,8,27,15,52,19,10,80,11,54.5,22,9,95,15,56,22,9,80,1
49,13,13,N,Fernando,X1,hshd,h,shd,33,26,10,5,8,6,9,38,14,3,4,4,39.5,14,9,28,3,44,19,6,18,8,43,17,6,8,0
50,13,13,S,Fernando,X1,hshd,h,shd,33,29,9,6,20,12,8,42,16,3,5,14,46,15,12,152,7,50,19,12,157,7,49,18,9,38,7
51,13,13,E,Fernando,X1,hshd,h,shd,33,22,8,3,20,12,16,47,15,2,10,17,46.5,15,11,154,12,54,20,10,142,14,62.5,23,10,113,12
52,13,13,W,Fernando,X1,hshd,h,shd,33,32,11,4,15,4,12,47,17,0,0,5,46,17,8,35,5,51,20,7,24,9,51.5,20,5,15,3
53,14,14,N,Fernando,X1,hshd,h,shd,33,23,9,4,20,15,12,22,8,4,13,7,22.5,9,6,24,6,26,11,5,24,12,28.5,13,6,19,4
54,14,14,S,Fernando,X1,hshd,h,shd,33,25,11,9,14,5,7,36,14,1,2,10,53,14,8,47,9,40,17,6,43,11,40,16,5,24,4
55,14,14,E,Fernando,X1,hshd,h,shd,33,23,9,5,12,11,9,27,12,3,11,12,31,11,8,55,5,34,13,6,47,9,38,16,6,30,6
56,14,14,W,Fernando,X1,hshd,h,shd,33,32,12,7,40,25,13,45,16,5,23,13,47,16,8,115,14,53.5,19,9,127,16,54,20,9,82,14
57,15,15,N,Fernando,X1,hshd,h,shd,33,30,12,7,32,15,12,44,18,6,16,11,44,18,11,99,6,46,23,9,95,7,48,23,9,67,5
58,15,15,S,Fernando,X1,hshd,h,shd,33,26.5,11,5,12,9,7,27,11,3,4,0,16,6,1,1,0,NA,NA,NA,NA,NA,12,4,0,0,0
59,15,15,E,Fernando,X1,hshd,h,shd,33,31,9,2,10,10,15,45,14,2,10,21,44.5,15,12,165,18,58,18,11,135,14,62,21,12,95,15
60,15,15,W,Fernando,X1,hshd,h,shd,33,22,8,5,24,15,8,30.5,11,4,11,11,31,13,8,79,12,41,16,8,75,18,44,18,8,74,18
61,16,16,N,Fernando,X1,hshd,h,shd,0,32,11,5,NA,38,16,42,14,5,33,18,42,14,2,4,9,45,18,3,4,13,46,18,4,5,9
62,16,16,S,Fernando,X1,hshd,h,shd,0,42,13,9,NA,105,15,44,15,8,87,8,44,14,0,0,1,43,16,0,0,2,48,20,0,0,6
63,16,16,E,Fernando,X1,hshd,h,shd,0,38.5,14,7,NA,90,14,46,16,6,60,10,48,17,0,0,5,50.5,21,3,8,9,60,25,2,2,19
64,16,16,W,Fernando,X1,hshd,h,shd,0,28,9,5,NA,47,13,31,9,5,33,5,29.5,10,0,0,1,29.5,11,0,0,2,30,11,0,0,2
65,17,17,N,Fernando,X1,hshd,h,shd,66,21.5,10,8,25,8,7,22.5,11,1,2,0,20.5,10,0,0,0,20,12,0,0,0,21,11,0,0,0
66,17,17,S,Fernando,X1,hshd,h,shd,66,36,13,8,26,8,11,56,20,2,5,19,57.5,20,16,167,12,59.5,25,12,143,12,53,24,11,97,8
67,17,17,E,Fernando,X1,hshd,h,shd,66,28,10,6,10,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
68,17,17,W,Fernando,X1,hshd,h,shd,66,18,12,7,5,2,11,48,19,1,2,19,48,19,14,140,13,54,22,13,128,16,53.5,23,11,61,4
69,18,18,N,Fernando,X1,hshd,h,shd,0,24,9,3,NA,17,12,37,12,3,16,17,38,12,8,37,8,45.5,17,8,37,8,46,17,8,32,6
70,18,18,S,Fernando,X1,hshd,h,shd,0,37.5,12,7,NA,25,10,42,14,7,20,6,41,15,3,5,5,49,17,1,2,11,51,17,1,2,7
71,18,18,E,Fernando,X1,hshd,h,shd,0,40,13,8,NA,80,13,49,16,8,69,14,49.5,16,6,9,5,54,20,4,6,9,61,24,3,4,11
72,18,18,W,Fernando,X1,hshd,h,shd,0,32,10,5,NA,56,15,49,15,5,44,10,51,15,9,45,10,55.5,19,10,39,14,56,20,10,38,9
73,19,19,N,Fernando,X1,hshd,h,shd,33,30,10,4,45,32,13,49,16,3,29,18,50.5,16,11,114,17,56.5,21,11,120,19,56,22,10,98,16
74,19,19,S,Fernando,X1,hshd,h,shd,33,26,9,4,26,25,11,37.5,15,2,25,12,37.5,14,10,88,4,40,17,9,71,5,42.5,17,6,36,1
75,19,19,E,Fernando,X1,hshd,h,shd,33,38,12,6,77,56,11,55,19,4,50,14,57,19,11,120,4,60,17,12,126,7,60,24,12,94,6
76,19,19,W,Fernando,X1,hshd,h,shd,33,51.5,15,9,131,93,24,55,16,6,86,11,55,15,2,7,3,54,16,1,5,0,50,11,1,1,0
77,20,20,N,Fernando,X1,hshd,h,shd,0,34,14,8,NA,67,12,39,16,8,53,8,39,16,7,61,2,42,21,7,58,6,44,20,5,36,6
78,20,20,S,Fernando,X1,hshd,h,shd,0,35.5,14,9,NA,81,14,33,14,8,65,0,NA,NA,NA,NA,NA,21,8,0,0,0,na,na,na,na,na
79,20,20,E,Fernando,X1,hshd,h,shd,0,34.5,15,10,NA,78,12,36,17,9,59,1,36,17,1,6,0,37,21,0,0,4,46.5,26,0,0,9
80,20,20,W,Fernando,X1,hshd,h,shd,0,18.5,8,2,NA,8,15,35,14,2,7,22,35,14,11,186,14,38,18,11,152,14,40,17,11,69,8
81,21,21,N,Fernando,X1,hshd,h,shd,33,31,12,9,33,10,13,36,17,6,15,6,37,17,6,32,2,40,19,7,35,5,41,20,7,26,7
82,21,21,S,Fernando,X1,hshd,h,shd,33,29,13,11,23,18,12,34,15,6,9,5,34,14,3,9,5,38.5,18,4,12,11,42.5,21,1,3,10
83,21,21,E,Fernando,X1,hshd,h,shd,33,25,13,9,27,22,11,33,15,4,14,9,34,13,8,63,6,36,21,7,58,7,37,19,6,3,4
84,21,21,W,Fernando,X1,hshd,h,shd,33,27,13,8,43,24,12,35,18,6,19,17,40,18,7,49,7,42,21,8,47,14,42,22,5,30,12
85,22,22,N,Fernando,X1,hshd,h,shd,33,25,10,7,31,24,11,26,11,6,19,5,NA,NA,NA,NA,NA,18,8,0,0,0,19,8,0,0,0
86,22,22,S,Fernando,X1,hshd,h,shd,33,27,12,7,32,26,17,38,17,4,18,19,40,16,8,54,8,44.5,19,8,47,13,49,19,10,45,11
87,22,22,E,Fernando,X1,hshd,h,shd,33,34.5,18,12,23,22,12,47,23,6,15,12,48,24,4,23,11,49,27,5,14,15,54,29,3,8,14
88,22,22,W,Fernando,X1,hshd,h,shd,33,22,9,3,21,11,12,39.5,15,2,2,21,42,14,11,165,18,37,19,12,151,17,47.5,20,11,113,12
89,23,23,N,Fernando,X2,lshd,l,shd,66,25.5,10,6,77,27,18,41,17,2,23,17,44,16,11,140,10,46,21,10,132,11,47,21,11,94,6
90,23,23,S,Fernando,X2,lshd,l,shd,66,35.5,13,9,124,32,12,43.5,16,3,15,14,42,16,7,72,4,48,20,6,63,5,48,20,11,94,6
91,23,23,E,Fernando,X2,lshd,l,shd,66,38.5,14,11,111,31,14,39,16,4,23,9,40,16,5,21,5,46,19,5,20,7,44,20,5,17,12
92,23,23,W,Fernando,X2,lshd,l,shd,66,31,11,7,101,40,14,40,15,3,40,17,40,16,8,82,2,44,20,8,80,7,41,18,7,33,3
93,24,24,N,Fernando,X2,lshd,l,shd,0,42,15,12,NA,111,12,43,17,11,95,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
94,24,24,S,Fernando,X2,lshd,l,shd,0,33,14,9,NA,97,13,36,15,9,75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
95,24,24,E,Fernando,X2,lshd,l,shd,0,27,10,8,NA,80,8,27,10,6,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
96,24,24,W,Fernando,X2,lshd,l,shd,0,32,12,8,NA,99,12,33,12,8,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
97,25,25,N,Fernando,X2,lshd,l,shd,0,51,16,11,NA,129,18,56,18,11,91,5,57.5,18,0,0,1,38,21,0,0,5,70,26,0,0,16
98,25,25,S,Fernando,X2,lshd,l,shd,0,42,14,9,NA,37,11,55.5,19,7,15,15,55,17,9,30,6,63,23,10,27,10,78,25,8,19,14
99,25,25,E,Fernando,X2,lshd,l,shd,0,36.5,11,6,NA,27,7,38.5,13,5,25,9,38,13,0,0,2,44,17,0,0,4,45,18,0,0,6
100,25,25,W,Fernando,X2,lshd,l,shd,0,38.5,13,8,NA,58,12,63.5,17,8,42,11,64,16,0,0,5,69,22,0,0,7,77,26,0,0,15
101,26,26,N,Fernando,X2,lshd,l,shd,66,35,12,6,53,26,13,48,16,2,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
102,26,26,S,Fernando,X2,lshd,l,shd,66,38,12,7,88,40,16,49,15,3,31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
