branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1h_len,e1h_tot_nod,e1h_frt_nod,e1h_tot_fruit,e1h_tot_lvs,e2f_len,e2f_tot_nod,e2f_flor_nod,e2f_buds,e2f_lvs,e2i_len,e2i_tot_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2h_len,e2h_tot_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs
150,38,38,S,Fernando,X2,lshd,l,shd,33,40,13,9,94,57,11,39,14,6,40,0,30,8,0,0,0,29,8,0,0,0,na,na,na,na,na
151,38,38,E,Fernando,X2,lshd,l,shd,33,28,12,7,32,28,9,37,16,3,15,12,37,16,8,93,4,38.5,20,8,87,7,39,19,8,49,2
152,38,38,W,Fernando,X2,lshd,l,shd,33,26.5,12,6,60,47,18,33,13,4,51,9,35,14,8,56,3,38,19,8,40,8,40,19,7,27,0
153,39,39,N,Fernando,X2,lshd,l,shd,33,34.5,13,8,98,77,14,36,12,6,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
154,39,39,S,Fernando,X2,lshd,l,shd,33,33,13,9,67,52,9,42.5,13,5,47,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
155,39,39,E,Fernando,X2,lshd,l,shd,33,30,12,7,48,23,10,36,15,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
156,39,39,W,Fernando,X2,lshd,l,shd,33,22,10,4,48,38,9,36,13,3,29,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
157,40,40,N,Fernando,X2,lshd,l,shd,33,31.5,14,10,137,81,17,50,18,7,45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
158,40,40,S,Fernando,X2,lshd,l,shd,33,38,14,9,141,118,15,43,15,6,77,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
159,40,40,E,Fernando,X2,lshd,l,shd,33,31.5,12,9,137,79,10,39,15,5,61,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
160,40,40,W,Fernando,X2,lshd,l,shd,33,38,14,10,147,99,13,38,15,6,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
161,41,41,N,Fernando,X2,lshd,l,shd,0,25.5,9,5,NA,54,13,35.5,14,4,41,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,15,0,0,0
162,41,41,S,Fernando,X2,lshd,l,shd,0,24,9,4,NA,33,11,46,16,4,39,17,47,15,9,100,6,48,19,9,104,12,52,20,9,89,10
163,41,41,E,Fernando,X2,lshd,l,shd,0,30,13,8,NA,38,11,39.5,16,6,36,15,42,17,9,52,7,46,21,7,43,12,46,22,6,41,11
164,41,41,W,Fernando,X2,lshd,l,shd,0,21.5,9,4,NA,24,12,26,12,4,19,10,27,12,5,24,8,32,14,5,21,11,38,17,5,19,14
165,42,42,N,Fernando,X2,lshd,l,shd,0,22.5,10,6,NA,20,8,23,9,5,9,3,23,10,3,24,0,22,10,3,23,0,21.5,10,3,18,0
166,42,42,S,Fernando,X2,lshd,l,shd,0,27.5,11,6,NA,16,7,28,11,4,10,2,28,11,2,3,1,33,14,2,3,4,33,15,2,3,6
167,42,42,E,Fernando,X2,lshd,l,shd,0,41,17,12,NA,30,8,44,20,8,20,10,47,19,10,65,6,49,22,8,45,5,50,24,5,40,5
168,42,42,W,Fernando,X2,lshd,l,shd,0,24,11,7,NA,6,8,34.5,16,2,4,9,33,16,8,64,8,40,19,6,50,10,38.5,18,5,30,0
169,43,43,N,Fernando,X2,lshd,l,shd,66,34,14,10,111,26,14,39,17,4,28,4,39.5,16,3,11,0,38,6,1,3,0,34,14,0,0,0
170,43,43,S,Fernando,X2,lshd,l,shd,66,36,15,9,166,61,14,36,15,3,54,12,26,8,0,0,0,NA,NA,NA,NA,NA,na,na,na,na,na
171,43,43,E,Fernando,X2,lshd,l,shd,66,35.5,14,9,130,46,15,42,18,3,48,7,44.5,18,7,40,4,47,22,7,38,8,50,23,7,31,10
172,43,43,W,Fernando,X2,lshd,l,shd,66,33,14,9,133,52,15,41,17,3,48,17,42.5,17,8,55,9,48,21,7,49,11,47.5,21,6,31,2
173,44,44,N,Fernando,X2,lshd,l,shd,0,36,15,11,NA,23,7,42,17,8,17,11,45,17,9,63,10,51,12,10,57,16,42,18,11,35,3
174,44,44,S,Fernando,X2,lshd,l,shd,0,33,11,7,NA,58,14,32,17,9,43,17,32,11,0,0,0,32,12,0,0,0,na,na,na,na,na
175,44,44,E,Fernando,X2,lshd,l,shd,0,35,14,9,NA,44,12,32,13,8,42,10,35,15,1,4,0,37,18,1,1,4,40,21,1,1,3
176,44,44,W,Fernando,X2,lshd,l,shd,0,15,6,3,NA,8,12,21,11,3,8,6,22,8,5,13,2,27,13,5,15,6,25.5,13,3,7,6
177,45,45,N,Fernando,X3,lsun,l,sun,66,27,11,7,42,18,11,39,17,2,12,6,40,18,12,140,1,39,18,10,86,4,38.5,15,6,40,0
178,45,45,S,Fernando,X3,lsun,l,sun,66,23.5,8,3,27,8,13,44,16,1,8,3,45.5,16,12,184,5,50,22,11,146,2,47.5,21,10,53,0
179,45,45,E,Fernando,X3,lsun,l,sun,66,28,12,8,85,31,10,51,21,3,20,13,49,20,9,123,4,48,20,9,101,2,51,21,9,45,0
180,45,45,W,Fernando,X3,lsun,l,sun,66,31,11,3,17,6,6,48,19,1,3,15,48,20,10,142,11,50,22,12,123,6,50,24,11,63,7
181,46,46,N,Fernando,X3,lsun,l,sun,66,33,13,6,36,9,15,43,17,2,7,9,43.5,18,10,84,6,48.5,20,10,77,9,50,21,8,46,8
182,46,46,S,Fernando,X3,lsun,l,sun,66,43,16,10,182,33,16,44.5,16,1,1,0,32,9,0,0,0,30,9,0,0,0,31,9,0,0,0
183,46,46,E,Fernando,X3,lsun,l,sun,66,37,14,10,49,15,10,42,17,3,10,5,43,16,7,11,2,45,19,3,5,8,46,22,1,2,4
184,46,46,W,Fernando,X3,lsun,l,sun,66,26.5,9,5,34,13,15,38,15,2,12,12,39,15,9,71,9,40,19,9,39,11,43,18,9,24,9
185,47,47,N,Fernando,X3,lsun,l,sun,0,22,10,6,NA,75,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
186,47,47,S,Fernando,X3,lsun,l,sun,0,28,10,6,NA,76,10,27.5,11,6,51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
187,47,47,E,Fernando,X3,lsun,l,sun,0,28,9,5,NA,62,14,25,12,5,41,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
188,47,47,W,Fernando,X3,lsun,l,sun,0,30,12,7,NA,102,15,30.5,11,7,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
189,48,48,N,Fernando,X3,lsun,l,sun,33,32.5,12,8,81,42,7,38,14,5,34,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
190,48,48,S,Fernando,X3,lsun,l,sun,33,26.5,10,7,87,51,7,32,12,5,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
191,48,48,E,Fernando,X3,lsun,l,sun,33,47,14,12,100,68,11,48,16,4,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
192,48,48,W,Fernando,X3,lsun,l,sun,33,22.5,8,5,28,22,7,23,8,3,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
193,49,49,N,Fernando,X3,lsun,l,sun,66,42,16,11,167,61,17,54,21,4,41,12,54,21,8,43,0,54,21,0,0,0,52,21,0,0,0
194,49,49,S,Fernando,X3,lsun,l,sun,66,38,14,10,125,50,19,56,23,6,48,22,58.5,22,11,89,12,60,26,10,60,11,71.5,31,8,30,16
195,49,49,E,Fernando,X3,lsun,l,sun,66,33.5,11,8,72,23,12,30,13,3,20,5,33,14,4,15,1,33,17,3,9,2,34,16,2,6,0
196,49,49,W,Fernando,X3,lsun,l,sun,66,37.5,15,10,89,25,18,58,21,5,24,18,59.5,23,15,98,14,65,20,7,83,14,66,29,8,59,15
197,50,50,N,Fernando,X3,lsun,l,sun,0,43,16,12,NA,154,14,45,18,13,97,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
198,50,50,S,Fernando,X3,lsun,l,sun,0,34,11,7,NA,109,15,34,13,8,65,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
199,50,50,E,Fernando,X3,lsun,l,sun,0,45.5,17,13,NA,162,13,46,18,12,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
200,50,50,W,Fernando,X3,lsun,l,sun,0,39,15,10,NA,110,17,38,15,10,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
201,51,51,N,Fernando,X3,lsun,l,sun,0,41.5,16,12,NA,140,15,42,17,12,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
202,51,51,S,Fernando,X3,lsun,l,sun,0,47.5,19,13,NA,140,16,46,17,11,92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
203,51,51,E,Fernando,X3,lsun,l,sun,0,34,13,8,NA,83,19,36,15,7,53,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
204,51,51,W,Fernando,X3,lsun,l,sun,0,41.5,16,10,NA,139,16,42,15,10,81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
205,52,52,N,Fernando,X3,lsun,l,sun,33,35.5,11,7,73,47,9,38,13,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
206,52,52,S,Fernando,X3,lsun,l,sun,33,42,13,6,44,29,18,54,19,4,17,17,56,19,13,120,5,58.5,23,12,96,7,59,25,9,60,4
207,52,52,E,Fernando,X3,lsun,l,sun,33,33,12,7,27,18,15,54,18,4,15,22,53,18,14,103,3,59,22,13,79,10,67,22,10,46,12
208,52,52,W,Fernando,X3,lsun,l,sun,33,41,11,6,74,49,18,51,13,5,47,22,52.5,14,8,23,11,58,18,8,22,9,53,21,5,10,13
209,53,53,N,Fernando,X3,lsun,l,sun,66,32.5,10,8,40,24,9,40,15,3,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
210,53,53,S,Fernando,X3,lsun,l,sun,66,35,13,9,126,35,11,29.5,9,3,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
211,53,53,E,Fernando,X3,lsun,l,sun,66,38,17,12,59,49,12,49,21,4,41,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
212,53,53,W,Fernando,X3,lsun,l,sun,66,44,16,12,136,36,14,53,20,5,23,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
213,54,54,N,Fernando,X3,lsun,l,sun,33,39.5,9,5,11,9,13,40,9,4,9,10,39.5,9,6,19,10,33,10,5,32,13,51,14,6,19,7
214,54,54,S,Fernando,X3,lsun,l,sun,33,38,10,5,20,15,12,52.5,15,3,13,18,53,15,11,53,11,39.5,13,7,57,18,59,17,10,41,13
215,54,54,E,Fernando,X3,lsun,l,sun,33,44,11,7,19,13,17,50.5,14,3,14,18,51,14,9,40,13,39,13,6,50,17,55,14,6,34,6
216,54,54,W,Fernando,X3,lsun,l,sun,33,36.5,9,5,8,5,13,44.5,11,2,4,11,45,10,6,7,8,50,13,8,53,16,45,12,0,0,10
217,55,55,N,Fernando,X3,lsun,l,sun,0,32.5,11,7,NA,28,8,47,17,5,16,12,51,17,10,78,10,53.5,21,9,89,14,54,14,8,76,13
218,55,55,S,Fernando,X3,lsun,l,sun,0,27.5,10,6,NA,45,10,35.5,14,6,36,10,35,14,8,35,3,39,16,7,30,6,39,17,9,26,4
219,55,55,E,Fernando,X3,lsun,l,sun,0,31,11,5,NA,36,11,45.5,19,5,35,13,49,19,14,111,6,48,22,13,83,6,50,21,13,47,0
220,55,55,W,Fernando,X3,lsun,l,sun,0,31,13,8,NA,32,11,40,17,5,30,14,39.5,17,8,38,12,44.5,19,7,35,10,50,22,6,23,9
221,56,56,N,Fernando,X3,lsun,l,sun,0,24.5,12,8,NA,103,15,29,15,8,74,9,30,15,3,4,3,34,20,3,6,8,39.5,24,2,4,11
222,56,56,S,Fernando,X3,lsun,l,sun,0,26.5,12,8,NA,83,15,26,12,8,52,2,24,11,0,0,0,23.5,11,0,0,0,na,na,na,na,na
223,56,56,E,Fernando,X3,lsun,l,sun,0,18,10,6,NA,13,7,20,12,3,8,3,20.5,12,4,10,0,20,11,2,4,0,19,11,0,0,0
224,56,56,W,Fernando,X3,lsun,l,sun,0,28,13,10,NA,119,14,29.5,13,9,86,1,32,14,0,0,0,31,17,0,0,3,37,21,0,0,10
225,57,57,N,Fernando,X3,lsun,l,sun,0,33,15,10,NA,125,15,38,19,10,113,10,39,13,2,2,3,42,22,4,4,4,51,27,3,3,13
226,57,57,S,Fernando,X3,lsun,l,sun,0,34,15,12,NA,99,11,31,14,10,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
227,57,57,E,Fernando,X3,lsun,l,sun,0,29,13,10,NA,45,7,33,17,10,25,8,34,15,0,0,1,35.5,19,0,0,4,44,25,0,0,14
228,57,57,W,Fernando,X3,lsun,l,sun,0,25,12,8,NA,62,12,28,14,8,56,11,28.5,14,0,0,2,32,16,0,0,5,40,21,0,0,12
229,58,58,N,Fernando,X3,lsun,l,sun,66,25,12,6,52,12,13,34,15,1,6,8,34,18,11,123,4,36,18,10,90,6,37,20,7,32,1
230,58,58,S,Fernando,X3,lsun,l,sun,66,33,13,9,53,33,11,46,22,4,21,11,48,21,10,97,5,50,25,10,86,9,54,27,10,58,10
231,58,58,E,Fernando,X3,lsun,l,sun,66,33,14,10,33,13,8,43,18,2,11,10,43.5,20,13,90,5,48.5,21,8,69,6,46,25,8,30,5
232,58,58,W,Fernando,X3,lsun,l,sun,66,25.5,12,7,23,5,9,37.5,18,1,1,14,39,19,12,107,7,44.5,22,10,107,12,42,21,7,43,3
233,59,59,N,Fernando,X3,lsun,l,sun,33,18,8,5,32,26,8,22,10,3,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
234,59,59,S,Fernando,X3,lsun,l,sun,33,42,14,10,140,99,11,49.5,18,6,70,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
235,59,59,E,Fernando,X3,lsun,l,sun,33,20,9,5,10,6,7,32.5,13,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
236,59,59,W,Fernando,X3,lsun,l,sun,33,40,13,8,64,42,12,47,15,5,37,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
237,60,60,N,Fernando,X3,lsun,l,sun,0,35.5,16,11,NA,40,9,44,21,8,25,10,45.5,23,8,33,4,51,12,8,52,9,57,30,7,22,12
238,60,60,S,Fernando,X3,lsun,l,sun,0,28,12,8,NA,67,9,31,14,8,59,5,30,13,2,3,1,34.5,19,2,2,4,41,21,2,2,10
239,60,60,E,Fernando,X3,lsun,l,sun,0,13,16,2,NA,6,8,15,8,1,4,7,18,8,5,29,2,20,11,4,20,5,20,11,4,14,2
240,60,60,W,Fernando,X3,lsun,l,sun,0,23.5,11,6,NA,31,12,26,13,5,29,4,28,13,4,9,1,28,13,0,0,0,na,na,na,na,na
241,61,61,N,Fernando,X3,lsun,l,sun,0,30,11,5,NA,44,13,49,17,5,37,21,49.5,18,11,110,15,59,22,11,128,18,54,20,9,78,7
242,61,61,S,Fernando,X3,lsun,l,sun,0,32.5,10,6,NA,43,13,45,16,6,42,14,45,15,9,39,4,47,19,7,34,9,45,18,6,16,3
243,61,61,E,Fernando,X3,lsun,l,sun,0,36,12,8,NA,63,9,42.5,14,7,60,8,42,14,7,57,0,44,15,9,42,0,42,14,5,27,0
244,61,61,W,Fernando,X3,lsun,l,sun,0,26.5,9,5,NA,14,10,38.5,14,4,11,12,39,14,10,78,11,45,17,8,75,13,45,16,8,46,12
245,62,62,N,Fernando,X3,lsun,l,sun,33,31,13,8,71,48,11,36.5,14,5,38,9,36.5,16,0,0,1,37,17,0,0,4,36,17,0,0,4
246,62,62,S,Fernando,X3,lsun,l,sun,33,38,14,9,113,89,14,37,13,6,65,2,34,12,0,0,0,32,10,0,0,0,34,11,0,0,0
247,62,62,E,Fernando,X3,lsun,l,sun,33,34,12,7,92,62,12,35,12,5,53,2,34.5,13,0,0,0,34.5,11,0,0,0,34,12,0,0,0
248,62,62,W,Fernando,X3,lsun,l,sun,33,42,13,9,100,72,10,50,15,6,69,10,49,16,2,4,0,53,19,1,3,2,56,20,1,1,8
249,63,63,N,Fernando,X3,lsun,l,sun,33,43,14,10,118,75,13,43,15,8,50,0,40.5,14,0,0,0,40,14,0,0,0,na,na,na,na,na
250,63,63,S,Fernando,X3,lsun,l,sun,33,41,15,10,180,126,13,42,15,7,82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
251,63,63,E,Fernando,X3,lsun,l,sun,33,38,15,11,144,102,10,41,16,7,69,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
252,63,63,W,Fernando,X3,lsun,l,sun,33,31,11,5,43,31,9,31,10,4,19,0,29,9,0,0,0,NA,NA,NA,NA,NA,na,na,na,na,na
253,64,64,N,Fernando,X3,lsun,l,sun,66,47,18,12,128,46,15,56.5,22,4,41,10,55.5,21,10,120,4,57,23,9,133,7,56,26,8,56,2
254,64,64,S,Fernando,X3,lsun,l,sun,66,33,13,8,99,46,14,46,19,4,26,13,47,19,10,89,5,49,22,8,68,11,48,24,8,45,11
255,64,64,E,Fernando,X3,lsun,l,sun,66,38,13,8,101,36,12,51,20,3,25,16,50,18,10,152,6,50.5,21,11,110,8,56,22,11,48,6
256,64,64,W,Fernando,X3,lsun,l,sun,66,40.5,15,10,56,17,10,49,21,4,11,8,50.5,21,14,93,3,50,24,9,57,7,51,25,7,27,0
257,65,65,N,Fernando,X3,lsun,l,sun,0,32.5,13,6,NA,51,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
258,65,65,S,Fernando,X3,lsun,l,sun,0,30,9,4,NA,29,10,46,16,4,24,19,48,15,10,78,12,54,20,9,77,11,58,21,11,71,15
259,65,65,E,Fernando,X3,lsun,l,sun,0,29.5,11,6,NA,60,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
260,65,65,W,Fernando,X3,lsun,l,sun,0,27,12,6,NA,32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
261,66,66,N,Fernando,X3,lsun,l,sun,0,33,10,5,NA,30,14,41,16,5,29,16,41.5,16,12,146,5,45,20,11,129,6,45,18,10,77,3
262,66,66,S,Fernando,X3,lsun,l,sun,0,44,13,7,NA,94,19,48,15,7,80,13,48,15,7,68,1,47.5,15,6,52,0,47,14,6,40,0
263,66,66,E,Fernando,X3,lsun,l,sun,0,47,14,9,NA,101,9,52,17,9,89,10,52.5,17,7,32,2,55,21,7,20,4,58.5,24,4,9,5
264,66,66,W,Fernando,X3,lsun,l,sun,0,36.5,12,6,NA,62,17,40.5,13,6,56,13,41.5,14,7,41,3,44,17,6,27,7,45,17,6,21,4
265,67,67,N,Fernando,X4,hsun,h,sun,0,36.5,13,8,NA,86,18,37,15,7,69,7,38,15,0,0,0,39,16,0,0,2,49,22,0,0,8
266,67,67,S,Fernando,X4,hsun,h,sun,0,40,14,7,NA,93,16,47.5,18,6,52,7,48.5,16,0,0,2,49,19,0,0,3,40,14,0,0,0
267,67,67,E,Fernando,X4,hsun,h,sun,0,35.5,12,10,NA,24,4,34,14,5,10,2,34.5,15,0,0,0,35,15,0,0,1,44,20,0,0,5
268,67,67,W,Fernando,X4,hsun,h,sun,0,21,6,2,NA,25,10,32,11,2,16,14,33,11,4,5,7,35.5,13,1,1,7,44,19,0,0,9
269,68,68,N,Fernando,X4,hsun,h,sun,0,40,18,14,NA,56,8,40.5,20,8,40,7,42,19,1,2,1,40,20,0,0,0,na,na,na,na,na
270,68,68,S,Fernando,X4,hsun,h,sun,0,36,17,10,NA,79,11,36,18,9,53,0,35,16,0,0,0,30,10,0,0,0,29,13,0,0,0
271,68,68,E,Fernando,X4,hsun,h,sun,0,33,13,8,NA,26,14,39,16,8,76,5,38,18,7,17,0,41,21,7,13,5,45,26,4,5,6
272,68,68,W,Fernando,X4,hsun,h,sun,0,33.5,13,9,NA,105,11,37,14,6,76,2,36,15,0,0,0,35,14,0,0,0,23,9,0,0,0
273,69,69,N,Fernando,X4,hsun,h,sun,33,55,16,12,189,110,21,59,16,7,61,7,49,12,0,0,0,48,12,0,0,0,35,8,0,0,0
274,69,69,S,Fernando,X4,hsun,h,sun,33,46,15,11,110,72,18,53.5,17,8,51,16,54.5,20,6,7,9,60,23,2,3,11,72,29,0,0,12
275,69,69,E,Fernando,X4,hsun,h,sun,33,37,13,9,108,79,14,46,16,7,77,14,47,16,5,7,7,51.5,20,4,7,10,64,23,6,6,17
276,69,69,W,Fernando,X4,hsun,h,sun,33,49,15,10,130,75,18,61,19,7,36,20,62,19,12,32,8,60,18,6,18,0,59,19,5,11,0
277,70,70,N,Fernando,X4,hsun,h,sun,66,34,15,10,52,19,17,44,19,3,20,8,45,20,10,83,4,46,23,11,75,4,46,23,6,20,1
278,70,70,S,Fernando,X4,hsun,h,sun,66,29,12,8,44,14,12,36.5,16,2,9,4,37,18,11,71,4,37,17,8,66,3,37,17,5,33,0
279,70,70,E,Fernando,X4,hsun,h,sun,66,14,7,6,6,1,3,13.5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,1,2,0
280,70,70,W,Fernando,X4,hsun,h,sun,66,40,16,10,37,9,12,50,22,2,5,4,48.5,19,9,58,8,46,21,8,20,0,37,15,4,10,0
281,71,71,N,Fernando,X4,hsun,h,sun,33,27,9,5,14,10,7,41,14,4,7,5,42,16,11,81,4,45,16,10,48,5,43,17,7,13,0
282,71,71,S,Fernando,X4,hsun,h,sun,33,32,12,5,40,29,15,46,17,4,31,20,46,18,14,183,7,50,21,14,146,12,50,20,12,59,2
283,71,71,E,Fernando,X4,hsun,h,sun,33,33.5,13,8,43,26,10,42,18,5,14,6,42,19,10,61,1,46,23,8,16,4,53,23,0,0,4
284,71,71,W,Fernando,X4,hsun,h,sun,33,31.5,13,8,42,30,17,45,19,6,24,15,47,20,14,145,13,53,23,13,155,15,53,24,14,67,8
285,72,72,N,Fernando,X4,hsun,h,sun,66,17.5,9,5,19,11,9,24,13,3,7,4,24.5,13,3,6,1,26,15,2,4,3,38,20,7,41,13
286,72,72,S,Fernando,X4,hsun,h,sun,66,37,13,7,36,16,15,28,15,3,13,7,29.5,13,6,34,2,33,17,5,29,8,37.5,19,5,23,10
287,72,72,E,Fernando,X4,hsun,h,sun,66,23,9,5,38,16,13,31,14,3,16,15,31.5,14,10,94,6,36.5,17,8,70,11,36,18,8,51,10
288,72,72,W,Fernando,X4,hsun,h,sun,66,23.5,10,5,26,9,16,28.5,15,2,8,18,30,13,10,63,11,36.5,20,9,55,15,33,16,22,3,13
289,73,73,N,Fernando,X4,hsun,h,sun,0,28,10,6,NA,36,14,27.5,11,4,35,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
290,73,73,S,Fernando,X4,hsun,h,sun,0,30,12,7,NA,51,13,28.5,11,6,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
291,73,73,E,Fernando,X4,hsun,h,sun,0,40,19,13,NA,43,4,38.5,18,7,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
292,73,73,W,Fernando,X4,hsun,h,sun,0,25,11,5,NA,15,12,30,14,4,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
293,74,74,N,Fernando,X4,hsun,h,sun,66,37,14,8,19,12,11,34,20,2,5,17,57,21,14,190,9,59,23,13,184,11,15.5,5,0,0,0
294,74,74,S,Fernando,X4,hsun,h,sun,66,34.5,12,7,42,12,13,46,17,3,12,10,46.5,18,12,136,0,46,17,12,102,2,45,18,9,24,0
295,74,74,E,Fernando,X4,hsun,h,sun,66,34.5,13,9,35,10,14,34,13,1,6,0,34,13,3,9,0,23,8,2,10,0,23,8,1,1,0
296,74,74,W,Fernando,X4,hsun,h,sun,66,37.5,14,8,30,12,15,38.5,15,2,7,2,40,15,3,4,0,39,16,0,0,0,59,22,13,124,0
297,75,75,N,Fernando,X4,hsun,h,sun,0,38,15,10,NA,86,14,28,9,8,75,0,29,11,0,0,0,NA,NA,NA,NA,NA,na,na,na,na,na
298,75,75,S,Fernando,X4,hsun,h,sun,0,24.5,9,5,NA,29,11,35,14,5,25,15,37,15,8,62,8,40,19,8,45,12,39.5,17,6,36,0
299,75,75,E,Fernando,X4,hsun,h,sun,0,37,15,8,NA,31,11,45,18,8,22,14,45,19,9,95,2,48,23,9,79,4,48,22,8,39,4
300,75,75,W,Fernando,X4,hsun,h,sun,0,31.5,11,6,NA,67,14,36,14,6,57,6,38,15,5,12,2,42,20,3,7,7,50,23,2,5,9
301,76,76,N,Fernando,X4,hsun,h,sun,33,22,8,4,23,19,11,23,8,3,22,4,21,9,0,0,4,25,10,2,2,5,26,10,2,2,3
302,76,76,S,Fernando,X4,hsun,h,sun,33,47.5,16,12,60,35,14,54,21,8,33,9,56,21,6,20,2,58,26,7,22,7,59,27,6,17,0
303,76,76,E,Fernando,X4,hsun,h,sun,33,38,13,8,94,65,10,44.5,16,6,58,10,45,17,4,12,0,47.5,20,5,8,4,53,26,3,3,11
304,76,76,W,Fernando,X4,hsun,h,sun,33,24,8,4,35,28,13,37,14,3,28,16,37,15,10,52,9,42.5,19,10,48,11,43.5,19,11,33,9
305,77,77,N,Fernando,X4,hsun,h,sun,33,43,16,11,161,125,12,45,14,7,96,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
306,77,77,S,Fernando,X4,hsun,h,sun,33,41.5,16,11,137,92,15,42,16,9,75,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
307,77,77,E,Fernando,X4,hsun,h,sun,33,46,17,12,159,104,15,48,17,8,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
308,77,77,W,Fernando,X4,hsun,h,sun,33,39.5,16,11,120,97,18,41.5,15,6,59,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
309,78,78,N,Fernando,X4,hsun,h,sun,0,38.5,14,7,NA,55,16,46,17,7,41,16,47.5,18,9,45,8,51.5,22,8,36,11,32.5,17,3,3,10
310,78,78,S,Fernando,X4,hsun,h,sun,0,29,12,7,NA,27,6,36.5,14,6,24,7,36,18,8,10,3,40,18,6,6,8,40,220,1,2,17
311,78,78,E,Fernando,X4,hsun,h,sun,0,31.5,9,8,NA,24,0,30,9,3,7,0,10,4,0,0,0,10,4,0,0,0,40,19,3,7,15
