branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_new_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1i_sick_lvs,e1i_sick_id,e1_calc_per_thin,e1i_frt_pot_nod,e1h_len,e1h_tot_nod,e1h_new_nod,e1h_frt_nod,e1h_pot_nod,e1h_tot_fruit,e1h_tot_lvs,e1h_sick,e1h_sick_id,e1h_db_anth,e1h_anthrac,e1i_ht,e1h_ht,e1_ortho,e2f_length,e2f_lat,e2f_tot_nod,e2f_new_nod,e2f_flor_nod,e2f_buds,checkingbuds,e2f_lvs,e2f_sick,e2f_sick_id,e2f_anthrac,e2i_tot_len,e2i_new_len,e2i_diam,e2i_tot_nod,e2i_new_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2i_sick,e2i_sick_id,e2i_lat,e2i_db_anth,e2f_bud_nod ,e2i_ffnod,e2f_bud_nod_int ,e2h_tot_len,e2h_new_len,e2h_diam,e2h_tot_nod,e2h_new_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs,e2h_sick_lvs,e2h_sick_type,e2h_anth,e2h_lat,
241,61,61,N,Fernando,X3,lsun,l,sun,0,30,11,5,6,NA,44,13,0,NA,NA,8.8,49,17,12,5,5,37,21,2,O,0,N,183,195,2,49.5,0,18,2,11,110,99,15,3,O,N,59,10,5,22,6,11,128,18,2,o,0,0,10,11.63636364,10,54.00,13.00,5.00,20.00,6.00,9.00,78.00,7.00,3.00,o,n,1,
242,61,61,S,Fernando,X3,lsun,l,sun,0,32.5,10,6,4,NA,43,13,1,O,NA,7.166666667,45,16,10,6,6,42,14,0,NA,NA,NA,183,195,2,45,0,15,0,9,39,30,4,2,O,N,47,7.5,4.5,19,4,7,34,9,0,na,2,0,4.333333333,4.857142857,4,45.00,9.50,4.50,18.00,4.00,6.00,16.00,3.00,3.00,ou,y,3,
243,61,61,E,Fernando,X3,lsun,l,sun,0,36,12,8,4,NA,63,9,1,O,NA,7.875,42.5,14,7,7,7,60,8,3,O,0,N,183,195,2,42,1,14,0,7,57,50,0,NA,NA,NA,44,0,5,15,0,9,42,0,0,na,2,1,8.142857143,4.666666667,8,42.00,4.00,4.50,14.00,1.00,5.00,27.00,0.00,0.00,na,y,4,
244,61,61,W,Fernando,X3,lsun,l,sun,0,26.5,9,5,4,NA,14,10,0,NA,NA,2.8,38.5,14,10,4,4,11,12,1,O,0,N,183,195,2,39,0,14,1,10,78,68,11,0,NA,N,45,11,5,17,5,8,75,13,2,o,0,0,7.8,9.375,8,45.00,12.00,4.00,16.00,5.00,8.00,46.00,12.00,2.00,o,n,0,
245,62,62,N,Fernando,X3,lsun,l,sun,33,31,13,8,5,71,48,11,0,NA,32.3943662,6,36.5,14,7,5,7,38,9,3,OU,0,N,207,231,3,36.5,0,16,0,0,0,0,1,1,U,N,37,0,5,17,0,0,0,4,0,na,0,0,0,0,0,36.00,0.00,5.50,17.00,0.00,0.00,0.00,4.00,2.00,o,n,0,
246,62,62,S,Fernando,X3,lsun,l,sun,33,38,14,9,5,113,89,14,3,O,21.23893805,9.888888889,37,13,5,6,8,65,2,2,OU,0,N,207,231,3,34,0,12,NA,0,0,0,0,NA,NA,Y,32,0,4,10,0,0,0,0,0,na,0,0,0,0,0,34.00,0.00,5.00,11.00,0.00,0.00,0.00,0.00,0.00,na,y,0,
247,62,62,E,Fernando,X3,lsun,l,sun,33,34,12,7,5,92,62,12,0,NA,32.60869565,8.857142857,35,12,5,5,7,53,2,0,NA,1,Y,207,231,3,34.5,0,13,0,0,0,0,0,NA,NA,Y,34.5,0,4.5,11,0,0,0,0,0,na,0,0,0,0,0,34.00,0.00,4.50,12.00,0.00,0.00,0.00,0.00,0.00,na,y,0,
248,62,62,W,Fernando,X3,lsun,l,sun,33,42,13,9,4,100,72,10,0,NA,28,8,50,15,6,6,9,69,10,5,OU,1,Y,207,231,3,49,0,16,2,2,4,2,0,NA,NA,N,53,15,5,19,7,1,3,2,0,na,2,0,2,3,2,56.00,17.00,5.00,20.00,9.00,1.00,1.00,8.00,2.00,ou,n,2,
249,63,63,N,Fernando,X3,lsun,l,sun,33,43,14,10,4,118,75,13,2,OU,36.44067797,7.5,43,15,5,8,10,50,0,NA,NA,0,N,196,249,4,40.5,0,14,NA,0,0,0,0,NA,NA,Y,40,0,4,14,0,0,0,0,0,na,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,
250,63,63,S,Fernando,X3,lsun,l,sun,33,41,15,10,5,180,126,13,2,OR,30,12.6,42,15,5,7,10,82,0,NA,NA,1,Y,196,249,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
251,63,63,E,Fernando,X3,lsun,l,sun,33,38,15,11,4,144,102,10,2,O,29.16666667,9.272727273,41,16,6,7,10,69,3,2,OU,0,N,196,249,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
252,63,63,W,Fernando,X3,lsun,l,sun,33,31,11,5,6,43,31,9,3,O,27.90697674,6.2,31,10,4,4,6,19,0,NA,NA,1,Y,196,249,4,29,0,9,NA,0,0,0,0,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,na,na,na,na,na,na,na,na,na,na,na,na,
253,64,64,N,Fernando,X3,lsun,l,sun,66,47,18,12,6,128,46,15,0,NA,64.0625,3.833333333,56.5,22,12,4,10,41,10,3,OU,0,N,216,216,2,55.5,0,21,1,10,120,110,4,0,NA,N,57,5.5,5.5,23,4,9,133,7,3,ou,0,0,12,14.77777778,12,56.00,5.00,5.00,26.00,4.00,8.00,56.00,2.00,2.00,o,y,0,
254,64,64,S,Fernando,X3,lsun,l,sun,66,33,13,8,5,99,46,14,2,O,53.53535354,5.75,46,19,11,4,8,26,13,0,NA,NA,NA,216,216,2,47,1,19,2,10,89,79,5,0,NA,N,49,9.5,5.5,22,6,8,68,11,2,u,6,0,8.9,8.5,9,48.00,12.00,5.00,24.00,8.00,8.00,45.00,11.00,4.00,ru,n,0,
255,64,64,E,Fernando,X3,lsun,l,sun,66,38,13,8,5,101,36,12,3,O,64.35643564,4.5,51,20,13,3,7,25,16,4,O,0,N,216,216,2,50,2,18,1,10,152,142,6,1,U,N,50.5,5,6,21,4,11,110,8,2,o,6,0,15.2,10,15,56.00,9.00,5.50,22.00,5.00,11.00,48.00,6.00,4.00,r,n,0,
256,64,64,W,Fernando,X3,lsun,l,sun,66,40.5,15,10,5,56,17,10,2,O,69.64285714,1.7,49,21,10,4,11,11,8,2,O,0,N,216,216,2,50.5,0,21,1,14,93,79,3,0,NA,N,50,3,5.5,24,4,9,57,7,0,na,2,0,6.642857143,6.333333333,7,51.00,3.50,5.00,25.00,4.00,7.00,27.00,0.00,0.00,na,y,0,
257,65,65,N,Fernando,X3,lsun,l,sun,0,32.5,13,6,7,NA,51,9,0,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
258,65,65,S,Fernando,X3,lsun,l,sun,0,30,9,4,5,NA,29,10,0,NA,NA,7.25,46,16,12,4,4,24,19,5,ORU,0,N,216,,3,48,1,15,2,10,78,68,12,2,U,N,54,12.5,5,20,7,9,77,11,1,o,6,0,7.8,8.555555556,8,58.00,12.00,5.00,21.00,6.00,11.00,71.00,15.00,0.00,na,n,6,
259,65,65,E,Fernando,X3,lsun,l,sun,0,29.5,11,6,5,NA,60,7,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
260,65,65,W,Fernando,X3,lsun,l,sun,0,27,12,6,6,NA,32,8,0,NA,NA,5.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
261,66,66,N,Fernando,X3,lsun,l,sun,0,33,10,5,5,NA,30,14,0,NA,NA,6,41,16,11,5,5,29,16,3,O,0,N,203,202,3,41.5,0,16,1,12,146,134,5,1,O,N,45,4.5,4.5,20,5,11,129,6,2,o,0,0,12.16666667,11.72727273,12,45.00,5.50,4.50,18.00,5.00,10.00,77.00,3.00,1.00,r,n,0,
262,66,66,S,Fernando,X3,lsun,l,sun,0,44,13,7,6,NA,94,19,1,U,NA,13.42857143,48,15,8,7,7,80,13,3,O,0,N,203,202,3,48,0,15,0,7,68,61,1,0,NA,N,47.5,2.5,5,15,1,6,52,0,0,na,0,1,9.714285714,8.666666667,10,47.00,2.50,5.00,14.00,1.00,6.00,40.00,0.00,0.00,na,y,0,
263,66,66,E,Fernando,X3,lsun,l,sun,0,47,14,9,5,NA,101,9,2,O,NA,11.22222222,52,17,8,9,9,89,10,2,O,0,N,203,202,3,52.5,0,17,1,7,32,25,2,0,NA,N,55,5.5,5.5,21,5,7,20,4,1,o,3,0,4.571428571,2.857142857,5,58.50,3.50,5.50,24.00,9.00,4.00,9.00,5.00,1.00,o,n,2,
264,66,66,W,Fernando,X3,lsun,l,sun,0,36.5,12,6,6,NA,62,17,0,NA,NA,10.33333333,40.5,13,7,6,6,56,13,4,O,0,N,203,202,3,41.5,0,14,0,7,41,34,3,2,O,N,44,5,5,17,3,6,27,7,4,ou,0,0,5.857142857,4.5,6,45.00,5.50,4.50,17.00,3.00,6.00,21.00,4.00,3.00,o,n,0,
265,67,67,N,Fernando,X4,hsun,h,sun,0,36.5,13,8,5,NA,86,18,2,O,NA,10.75,37,15,6,7,9,69,7,4,O,0,N,174,191,3,38,0,15,0,0,0,0,0,NA,NA,N,39,0,5,16,0,0,0,2,2,o,0,0,0,0,0,49.00,0.00,5.00,22.00,0.00,0.00,0.00,8.00,3.00,o,n,0,
266,67,67,S,Fernando,X4,hsun,h,sun,0,40,14,7,7,NA,93,16,1,O,NA,13.28571429,47.5,18,10,6,8,52,7,0,NA,NA,NA,174,191,3,48.5,0,16,0,0,0,0,2,1,O,N,49,0,5,19,0,0,0,3,2,u,2,0,0,0,0,40.00,0.00,5.00,14.00,0.00,0.00,0.00,0.00,0.00,na,y,1,
267,67,67,E,Fernando,X4,hsun,h,sun,0,35.5,12,10,2,NA,24,4,0,NA,NA,2.4,34,14,4,5,10,10,2,0,NA,NA,NA,174,191,3,34.5,0,15,0,0,0,0,0,NA,NA,N,35,0,5,15,0,0,0,1,0,na,0,0,0,0,0,44.00,0.00,4.00,20.00,0.00,0.00,0.00,5.00,0.00,na,n,0,
268,67,67,W,Fernando,X4,hsun,h,sun,0,21,6,2,4,NA,25,10,0,NA,NA,12.5,32,11,9,2,2,16,14,1,O,0,N,174,191,3,33,0,11,0,4,5,1,7,2,O,N,35.5,11.5,4,13,6,1,1,7,2,u,2,0,1.25,1,1,44.00,0.00,4.50,19.00,0.00,0.00,0.00,9.00,3.00,or,n,2,
269,68,68,N,Fernando,X4,hsun,h,sun,0,40,18,14,4,NA,56,8,0,NA,NA,4,40.5,20,7,8,13,40,7,6,ORU,0,N,196,212,3,42,0,19,0,1,2,1,1,0,NA,N,40,0,4,20,0,0,0,0,0,na,0,1,2,0,2,na,na,na,na,na,na,na,na,na,na,na,na,
270,68,68,S,Fernando,X4,hsun,h,sun,0,36,17,10,7,NA,79,11,0,NA,NA,7.9,36,18,5,9,13,53,0,0,NA,1,Y,196,212,3,35,0,16,0,0,0,0,0,NA,NA,Y,30,0,4.5,10,0,0,0,0,0,na,0,1,0,0,0,29.00,0.00,4.00,13.00,0.00,0.00,0.00,0.00,0.00,na,n,0,
271,68,68,E,Fernando,X4,hsun,h,sun,0,33,13,8,5,NA,26,14,1,O,NA,3.25,39,16,9,8,7,76,5,3,O,0,N,196,212,3,38,0,18,1,7,17,10,0,NA,NA,N,41,8,5.5,21,4,7,13,5,2,o,0,0,2.428571429,1.857142857,2,45.00,16.00,5.00,26.00,11.00,4.00,5.00,6.00,1.00,o,n,3,
272,68,68,W,Fernando,X4,hsun,h,sun,0,33.5,13,9,4,NA,105,11,1,O,NA,11.66666667,37,14,7,6,7,76,2,1,O,0,N,196,212,3,36,0,15,0,0,0,0,0,NA,NA,Y,35,0,5,14,0,0,0,0,0,na,0,1,0,0,0,23.00,0.00,4.50,9.00,0.00,0.00,0.00,0.00,0.00,na,n,0,
273,69,69,N,Fernando,X4,hsun,h,sun,33,55,16,12,4,189,110,21,7,OR,41.7989418,9.166666667,59,16,6,7,10,61,7,0,NA,NA,NA,,157,,49,0,12,0,0,0,0,0,NA,NA,Y,48,0,5.5,12,0,0,0,0,0,na,1,1,0,0,0,35.00,0.00,5.50,8.00,0.00,0.00,0.00,0.00,0.00,na,n,1,rota
274,69,69,S,Fernando,X4,hsun,h,sun,33,46,15,11,4,110,72,18,2,R,34.54545455,6.545454545,53.5,17,9,8,8,51,16,4,RU,0,N,,157,,54.5,1,20,5,6,7,1,9,1,O,N,60,17,5.5,23,10,2,3,11,1,u,1,0,1.166666667,1.5,1,72.00,0.00,7.00,29.00,0.00,0.00,0.00,12.00,4.00,o,n,4,
275,69,69,E,Fernando,X4,hsun,h,sun,33,37,13,9,4,108,79,14,0,NA,26.85185185,8.777777778,46,16,7,7,9,77,14,4,O,0,N,,157,,47,0,16,1,5,7,2,7,3,O,N,51.5,8.5,6,20,5,4,7,10,2,o,1,0,1.4,1.75,1,64.00,21.00,6.00,23.00,9.00,6.00,6.00,17.00,5.00,o,n,1,
276,69,69,W,Fernando,X4,hsun,h,sun,33,49,15,10,5,130,75,18,5,OR,42.30769231,7.5,61,19,9,7,10,36,20,4,U,0,N,,157,,62,0,19,0,12,32,20,8,4,O,N,60,0,5,18,0,6,18,0,0,na,2,1,2.666666667,3,3,59.00,3.00,6.00,19.00,1.00,5.00,11.00,0.00,0.00,na,y,1,
277,70,70,N,Fernando,X4,hsun,h,sun,66,34,15,10,5,52,19,17,0,NA,63.46153846,1.9,44,19,11,3,8,20,8,6,OU,0,N,203,216,1,45,1,20,0,10,83,73,4,3,O,N,46,3,4,23,4,11,75,4,1,u,3,0,8.3,6.818181818,8,46.00,5.50,4.50,23.00,5.00,6.00,20.00,1.00,0.00,na,n,1,
278,70,70,S,Fernando,X4,hsun,h,sun,66,29,12,8,4,44,14,12,1,O,68.18181818,1.75,36.5,16,11,2,5,9,4,0,NA,NA,NA,203,216,1,37,6,18,1,11,71,60,4,1,O,N,37,3,5,17,2,8,66,3,1,o,7,0,6.454545455,8.25,6,37.00,4.50,5.00,17.00,5.00,5.00,33.00,0.00,0.00,na,n,5,
279,70,70,E,Fernando,X4,hsun,h,sun,66,14,7,6,1,6,1,3,0,NA,83.33333333,0.166666667,13.5,5,0,0,5,0,0,0,NA,NA,NA,203,216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00,6.00,3.50,4.00,3.00,1.00,2.00,0.00,0.00,na,y,0,
280,70,70,W,Fernando,X4,hsun,h,sun,66,40,16,10,6,37,9,12,4,OU,75.67567568,0.9,50,22,12,2,10,5,4,3,O,1,Y,203,216,1,48.5,3,19,2,9,58,49,8,2,O,Y,46,5,5.5,21,2,8,20,0,0,na,6,0,6.444444444,2.5,6,37.00,2.50,4.50,15.00,1.00,4.00,10.00,0.00,0.00,na,n,7,rota
281,71,71,N,Fernando,X4,hsun,h,sun,33,27,9,5,4,14,10,7,0,NA,28.57142857,2,41,14,8,4,6,7,5,2,RU,0,N,182,177,3,42,0,16,0,11,81,70,4,2,O,N,45,2.5,4.5,16,2,10,48,5,2,u,0,0,7.363636364,4.8,7,43.00,3.00,5.00,17.00,3.00,7.00,13.00,0.00,0.00,na,y,0,
282,71,71,S,Fernando,X4,hsun,h,sun,33,32,12,5,7,40,29,15,2,U,27.5,5.8,46,17,12,4,5,31,20,7,ORU,0,N,182,177,3,46,0,18,1,14,183,169,7,2,O,N,50,5.5,5,21,3,14,146,12,0,na,5,0,13.07142857,10.42857143,13,50.00,7.00,5.50,20.00,5.00,12.00,59.00,2.00,1.00,o,n,5,
283,71,71,E,Fernando,X4,hsun,h,sun,33,33.5,13,8,5,43,26,10,3,OU,39.53488372,3.25,42,18,9,5,9,14,6,1,RU,0,N,182,177,3,42,0,19,1,10,61,51,1,0,NA,N,46,3,5.5,23,3,8,16,4,0,na,1,0,6.1,2,6,53.00,0.00,5.00,23.00,0.00,0.00,0.00,4.00,0.00,na,n,0,
284,71,71,W,Fernando,X4,hsun,h,sun,33,31.5,13,8,5,42,30,17,1,U,28.57142857,3.75,45,19,11,6,8,24,15,2,OU,0,N,182,177,3,47,0,20,1,14,145,131,13,3,O,N,53,7,5,23,5,13,155,15,6,or,3,0,10.35714286,11.92307692,10,53.00,7.00,5.00,24.00,5.00,14.00,67.00,8.00,8.00,ou,n,3,
285,72,72,N,Fernando,X4,hsun,h,sun,66,17.5,9,5,4,19,11,9,1,O,42.10526316,2.2,24,13,6,3,7,7,4,0,NA,NA,NA,164,165,3,24.5,0,13,1,3,6,3,1,0,NA,N,26,6,4,15,4,2,4,3,2,o,0,0,2,2,2,38.00,14.00,4.50,20.00,8.00,7.00,41.00,13.00,5.00,or,n,0,
286,72,72,S,Fernando,X4,hsun,h,sun,66,37,13,7,6,36,16,15,0,NA,55.55555556,2.285714286,28,15,8,3,7,13,7,1,O,0,N,164,165,3,29.5,0,13,0,6,34,28,2,0,NA,N,33,5.5,5,17,3,5,29,8,1,u,0,0,5.666666667,5.8,6,37.50,12.00,4.00,19.00,5.00,5.00,23.00,10.00,2.00,o,n,0,
287,72,72,E,Fernando,X4,hsun,h,sun,66,23,9,5,4,38,16,13,0,NA,57.89473684,3.2,31,14,10,3,4,16,15,3,O,0,N,164,165,3,31.5,0,14,1,10,94,84,6,1,O,N,36.5,6.5,4.5,17,5,8,70,11,1,u,0,0,9.4,8.75,9,36.00,6.50,5.00,18.00,5.00,8.00,51.00,10.00,2.00,o,n,0,
288,72,72,W,Fernando,X4,hsun,h,sun,66,23.5,10,5,5,26,9,16,0,NA,65.38461538,1.8,28.5,15,11,2,4,8,18,2,OU,0,N,164,165,3,30,0,13,1,10,63,53,11,2,O,N,36.5,8.5,5,20,6,9,55,15,0,na,0,0,6.3,6.111111111,6,33.00,13.00,4.00,16.00,6.00,22.00,3.00,13.00,4.00,o,n,0,
289,73,73,N,Fernando,X4,hsun,h,sun,0,28,10,6,4,NA,36,14,1,U,NA,6,27.5,11,5,4,6,35,11,5,O,0,N,174,173,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
290,73,73,S,Fernando,X4,hsun,h,sun,0,30,12,7,5,NA,51,13,0,NA,NA,7.285714286,28.5,11,4,6,7,42,1,0,NA,1,Y,174,173,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
291,73,73,E,Fernando,X4,hsun,h,sun,0,40,19,13,6,NA,43,4,0,NA,NA,3.307692308,38.5,18,6,7,12,30,1,1,U,0,N,174,173,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
292,73,73,W,Fernando,X4,hsun,h,sun,0,25,11,5,6,NA,15,12,1,U,NA,3,30,14,9,4,5,12,17,1,O,0,N,174,173,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
293,74,74,N,Fernando,X4,hsun,h,sun,66,37,14,8,6,19,12,11,1,O,36.84210526,1.5,34,20,12,2,8,5,17,3,OR,0,N,,210,,57,3,21,0,14,190,176,9,1,O,N,59,9.5,5.5,23,5,13,184,11,2,o,4,0,13.57142857,14.15384615,14,15.50,0.00,3.50,5.00,0.00,0.00,0.00,0.00,0.00,na,n,0,rota
294,74,74,S,Fernando,X4,hsun,h,sun,66,34.5,12,7,5,42,12,13,0,NA,71.42857143,1.714285714,46,17,11,3,6,12,10,4,ORU,0,N,,210,,46.5,3,18,0,12,136,124,0,NA,NA,N,46,0,5,17,0,12,102,2,0,na,4,1,11.33333333,8.5,11,45.00,4.50,6.50,18.00,2.00,9.00,24.00,0.00,0.00,na,y,4,
295,74,74,E,Fernando,X4,hsun,h,sun,66,34.5,13,9,4,35,10,14,0,NA,71.42857143,1.111111111,34,13,7,1,6,6,0,0,NA,1,Y,,210,,34,0,13,6,3,9,6,0,NA,NA,Y,23,5,5,8,1,2,10,0,0,na,1,0,3,5,3,23.00,22.00,3.50,8.00,7.00,1.00,1.00,0.00,0.00,na,n,0,rota
296,74,74,W,Fernando,X4,hsun,h,sun,66,37.5,14,8,6,30,12,15,4,OU,60,1.5,38.5,15,7,2,8,7,2,2,OR,0,N,,210,,40,0,15,1,3,4,1,0,NA,NA,N,39,0,4,16,0,0,0,0,0,na,0,1,1.333333333,0,1,59.00,7.50,5.50,22.00,4.00,13.00,124.00,0.00,0.00,na,y,3,
297,75,75,N,Fernando,X4,hsun,h,sun,0,38,15,10,5,NA,86,14,2,OR,NA,8.6,28,9,0,8,9,75,0,0,NA,1,Y,173,185,2,29,0,11,NA,0,0,0,0,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,na,na,na,na,na,na,na,na,na,na,na,na,
298,75,75,S,Fernando,X4,hsun,h,sun,0,24.5,9,5,4,NA,29,11,0,NA,NA,5.8,35,14,9,5,5,25,15,1,U,0,N,173,185,2,37,0,15,1,8,62,54,8,2,O,N,40,7.5,4.5,19,5,8,45,12,2,u,0,0,7.75,5.625,8,39.50,9.50,5.50,17.00,5.00,6.00,36.00,0.00,0.00,na,n,0,
299,75,75,E,Fernando,X4,hsun,h,sun,0,37,15,8,7,NA,31,11,0,NA,NA,3.875,45,18,10,8,8,22,14,3,OU,0,N,173,185,2,45,0,19,1,9,95,86,2,0,NA,N,48,5,6,23,5,9,79,4,0,na,0,0,10.55555556,8.777777778,11,48.00,5.00,6.00,22.00,5.00,8.00,39.00,4.00,3.00,o,n,0,
300,75,75,W,Fernando,X4,hsun,h,sun,0,31.5,11,6,5,NA,67,14,1,O,NA,11.16666667,36,14,8,6,6,57,6,0,NA,NA,NA,173,185,2,38,0,15,2,5,12,7,2,0,NA,N,42,10,5,20,7,3,7,7,1,u,0,0,2.4,2.333333333,2,50.00,18.50,6.00,23.00,10.00,2.00,5.00,9.00,7.00,ou,n,0,
301,76,76,N,Fernando,X4,hsun,h,sun,33,22,8,4,4,23,19,11,0,NA,17.39130435,4.75,23,8,4,3,4,22,4,0,NA,NA,NA,168,186,5,21,0,9,NA,0,0,0,4,2,O,N,25,7,3.5,10,4,2,2,5,1,o,0,0,0,1,0,26.00,7.00,3.50,10.00,3.00,2.00,2.00,3.00,1.00,o,y,0,
302,76,76,S,Fernando,X4,hsun,h,sun,33,47.5,16,12,4,60,35,14,0,NA,41.66666667,2.916666667,54,21,10,8,11,33,9,3,PR,0,N,168,186,5,56,0,21,1,6,20,14,2,0,NA,N,58,6.5,5.5,26,5,7,22,7,2,u,0,0,3.333333333,3.142857143,3,59.00,7.00,5.50,27.00,5.00,6.00,17.00,0.00,0.00,na,y,0,
303,76,76,E,Fernando,X4,hsun,h,sun,33,38,13,8,5,94,65,10,0,NA,30.85106383,8.125,44.5,16,8,6,8,58,10,2,PR,0,N,168,186,5,45,0,17,1,4,12,8,0,NA,NA,N,47.5,6,5,20,4,5,8,4,1,u,0,0,3,1.6,3,53.00,17.00,5.00,26.00,11.00,3.00,3.00,11.00,0.00,na,n,4,
304,76,76,W,Fernando,X4,hsun,h,sun,33,24,8,4,4,35,28,13,0,NA,20,7,37,14,11,3,3,28,16,1,RU,0,N,168,186,5,37,0,15,1,10,52,42,9,2,O,N,42.5,8,5,19,5,10,48,11,1,o,0,0,5.2,4.8,5,43.50,8.50,4.50,19.00,5.00,11.00,33.00,9.00,4.00,o,n,0,
305,77,77,N,Fernando,X4,hsun,h,sun,33,43,16,11,5,161,125,12,0,NA,22.36024845,11.36363636,45,14,5,7,9,96,9,6,OU,0,N,191,183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
306,77,77,S,Fernando,X4,hsun,h,sun,33,41.5,16,11,5,137,92,15,1,O,32.84671533,8.363636364,42,16,5,9,11,75,3,2,OU,1,Y,191,183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
307,77,77,E,Fernando,X4,hsun,h,sun,33,46,17,12,5,159,104,15,0,NA,34.59119497,8.666666667,48,17,5,8,12,69,1,0,NA,0,N,191,183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
308,77,77,W,Fernando,X4,hsun,h,sun,33,39.5,16,11,5,120,97,18,0,NA,19.16666667,8.818181818,41.5,15,6,6,9,59,3,3,OU,1,Y,191,183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
309,78,78,N,Fernando,X4,hsun,h,sun,0,38.5,14,7,7,NA,55,16,1,O,NA,7.857142857,46,17,10,7,7,41,16,5,OU,0,N,197,199,3,47.5,0,18,1,9,45,36,8,1,O,N,51.5,8.5,4.5,22,6,8,36,11,3,o,2,0,5,4.5,5,32.50,17.00,4.00,17.00,10.00,3.00,3.00,10.00,3.00,o,n,0,
310,78,78,S,Fernando,X4,hsun,h,sun,0,29,12,7,5,NA,27,6,1,O,NA,3.857142857,36.5,14,8,6,6,24,7,3,OU,0,N,197,199,3,36,0,18,1,8,10,2,3,1,O,N,40,7.5,4.5,18,5,6,6,8,0,na,0,0,1.25,1,1,40.00,27.00,5.00,220.00,15.00,1.00,2.00,17.00,4.00,or,n,0,
311,78,78,E,Fernando,X4,hsun,h,sun,0,31.5,9,8,1,NA,24,0,0,NA,NA,3,30,9,6,3,3,7,0,0,NA,1,Y,197,199,3,10,0,4,NA,0,0,0,0,NA,NA,Y,10,0,4,4,0,0,0,0,0,na,0,1,0,0,0,40.00,21.00,4.50,19.00,12.00,3.00,7.00,15.00,5.00,o,n,0,
