branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,n1i_tot_len,n1i_tot_nod,n1i_frtd_nod,n1i_frt,n1i_tot_lvs,n1h_tot_len,n1h_tot_nod,n1h_frtd_nod,n1h_frt,n1h_tot_lvs
1119,16,16,E,Fernando,X1,hshd,h,shd,0,33.5,13,9,30,9,38,15,9,26,3
1120,16,16,W,Fernando,X1,hshd,h,shd,0,32,14,6,14,9,31,15,4,7,4
1121,17,17,N,Fernando,X1,hshd,h,shd,66,32,12,6,68,12,34.5,14,6,60,10
1122,17,17,S,Fernando,X1,hshd,h,shd,66,45.5,17,12,148,14,49,20,12,104,16
1123,17,17,E,Fernando,X1,hshd,h,shd,66,40.5,14,9,154,14,41,15,9,103,5
1124,17,17,W,Fernando,X1,hshd,h,shd,66,28,9,5,41,13,28,9,5,33,8
1125,18,18,N,Fernando,X1,hshd,h,shd,0,44,15,9,126,14,45,17,9,107,11
1126,18,18,S,Fernando,X1,hshd,h,shd,0,42,15,10,123,12,44,17,11,89,5
1127,18,18,E,Fernando,X1,hshd,h,shd,0,41,15,9,106,12,42,16,10,61,7
1128,18,18,W,Fernando,X1,hshd,h,shd,0,36.5,14,7,73,13,46,16,6,55,6
1129,19,19,N,Fernando,X1,hshd,h,shd,33,47.5,16,11,157,16,51.5,19,12,122,14
1130,19,19,S,Fernando,X1,hshd,h,shd,33,31.5,11,7,60,9,33,12,5,27,6
1131,19,19,E,Fernando,X1,hshd,h,shd,33,48,16,10,150,14,56.5,20,11,127,14
1132,19,19,W,Fernando,X1,hshd,h,shd,33,45,15,9,140,15,48.5,17,9,129,14
1133,20,20,N,Fernando,X1,hshd,h,shd,0,33,14,9,150,14,35,15,9,47,3
1134,20,20,S,Fernando,X1,hshd,h,shd,0,36,14,10,162,14,34.5,15,10,73,3
1135,20,20,E,Fernando,X1,hshd,h,shd,0,36.5,13,9,132,11,37.5,17,9,52,3
1136,20,20,W,Fernando,X1,hshd,h,shd,0,31,13,8,166,14,32,14,9,55,3
1137,21,21,N,Fernando,X1,hshd,h,shd,33,28,13,7,76,11,33,14,6,58,12
1138,21,21,S,Fernando,X1,hshd,h,shd,33,29,13,6,53,13,35,17,5,35,13
1139,21,21,E,Fernando,X1,hshd,h,shd,33,33.5,15,10,121,13,40,17,10,87,3
1140,21,21,W,Fernando,X1,hshd,h,shd,33,26,12,6,45,10,31.5,13,6,35,9
1141,22,22,N,Fernando,X1,hshd,h,shd,33,27,12,4,33,15,32,15,4,25,24
1142,22,22,S,Fernando,X1,hshd,h,shd,33,42,16,11,188,10,42,15,9,98,5
1143,22,22,E,Fernando,X1,hshd,h,shd,33,36,14,10,151,14,35.5,15,10,102,9
1144,22,22,W,Fernando,X1,hshd,h,shd,33,45.5,16,10,112,15,48,18,10,91,10
1145,23,23,N,Fernando,X2,lshd,l,shd,66,28,11,7,86,13,40,16,6,75,15
1146,23,23,S,Fernando,X2,lshd,l,shd,66,32.5,13,8,112,17,34,14,8,81,15
1147,23,23,E,Fernando,X2,lshd,l,shd,66,29.5,13,9,101,14,31,14,9,83,8
1148,23,23,W,Fernando,X2,lshd,l,shd,66,28.5,12,7,92,14,34,15,7,93,6
1149,24,24,N,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150,24,24,S,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1151,24,24,E,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,24,24,W,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1153,25,25,N,Fernando,X2,lshd,l,shd,0,31.5,13,6,42,9,45,19,6,24,12
1154,25,25,S,Fernando,X2,lshd,l,shd,0,26,11,6,72,10,38,15,7,28,7
1155,25,25,E,Fernando,X2,lshd,l,shd,0,30.5,12,7,77,9,36,15,7,38,7
1156,25,25,W,Fernando,X2,lshd,l,shd,0,40,15,11,126,10,39.5,16,10,79,8
1157,26,26,N,Fernando,X2,lshd,l,shd,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,26,26,S,Fernando,X2,lshd,l,shd,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1159,26,26,E,Fernando,X2,lshd,l,shd,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1160,26,26,W,Fernando,X2,lshd,l,shd,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1161,27,27,N,Fernando,X2,lshd,l,shd,0,43,14,9,131,13,53,20,9,112,16
1162,27,27,S,Fernando,X2,lshd,l,shd,0,45,16,10,131,13,54,21,13,98,15
1163,27,27,E,Fernando,X2,lshd,l,shd,0,38.5,13,8,106,16,51,19,9,93,24
1164,27,27,W,Fernando,X2,lshd,l,shd,0,37,13,7,50,14,54.5,18,7,43,14
1165,28,28,N,Fernando,X2,lshd,l,shd,0,24.5,8,4,71,11,35,13,5,37,10
1166,28,28,S,Fernando,X2,lshd,l,shd,0,29.5,11,4,82,11,32,13,4,54,11
1167,28,28,E,Fernando,X2,lshd,l,shd,0,30.5,11,7,104,11,44,16,7,70,14
1168,28,28,W,Fernando,X2,lshd,l,shd,0,30.5,11,6,70,9,40,10,6,40,6
1169,29,29,N,Fernando,X2,lshd,l,shd,66,45.5,14,10,181,17,46.5,15,10,81,12
1170,29,29,S,Fernando,X2,lshd,l,shd,66,49.5,15,9,190,14,49,17,9,105,6
1171,29,29,E,Fernando,X2,lshd,l,shd,66,42,15,9,185,12,42.5,16,9,72,12
1172,29,29,W,Fernando,X2,lshd,l,shd,66,50.5,16,10,170,21,52,18,10,90,21
1173,30,30,N,Fernando,X2,lshd,l,shd,0,30,11,7,30,13,32,12,7,17,7
1174,30,30,S,Fernando,X2,lshd,l,shd,0,27,10,5,53,8,42,15,5,51,16
1175,30,30,E,Fernando,X2,lshd,l,shd,0,33,12,7,53,11,34,12,5,52,8
1176,30,30,W,Fernando,X2,lshd,l,shd,0,28.5,11,6,48,13,32,12,6,35,11
1177,31,31,N,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,31,31,S,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,31,31,E,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1180,31,31,W,Fernando,X2,lshd,l,shd,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181,32,32,N,Fernando,X2,lshd,l,shd,66,27.5,7,6,30,2,28,8,0,0,0
1182,32,32,S,Fernando,X2,lshd,l,shd,66,30,9,7,68,8,30,10,7,12,0
1183,32,32,E,Fernando,X2,lshd,l,shd,66,33.5,11,6,74,7,32,9,1,1,0
1184,32,32,W,Fernando,X2,lshd,l,shd,66,37.5,12,9,76,6,39,13,6,8,2
1185,33,33,N,Fernando,X2,lshd,l,shd,66,36.5,16,11,159,11,37,16,10,53,0
1186,33,33,S,Fernando,X2,lshd,l,shd,66,42,16,10,142,8,49.5,20,9,95,1
1187,33,33,E,Fernando,X2,lshd,l,shd,66,39,15,10,199,10,40.5,16,10,72,7
1188,33,33,W,Fernando,X2,lshd,l,shd,66,35,14,9,148,13,37,16,9,59,6
1189,34,34,N,Fernando,X2,lshd,l,shd,0,33,16,9,84,6,35,16,11,60,4
1190,34,34,S,Fernando,X2,lshd,l,shd,0,30,12,8,44,10,29.5,12,8,39,7
1191,34,34,E,Fernando,X2,lshd,l,shd,0,31,12,8,65,7,31,14,9,56,4
1192,34,34,W,Fernando,X2,lshd,l,shd,0,38,14,8,70,16,42,16,8,52,16
1193,35,35,N,Fernando,X2,lshd,l,shd,33,50,16,10,172,16,49,17,10,111,12
1194,35,35,S,Fernando,X2,lshd,l,shd,33,44,14,9,112,15,48,16,9,96,11
1195,35,35,E,Fernando,X2,lshd,l,shd,33,48.5,15,10,146,12,52,17,10,105,13
1196,35,35,W,Fernando,X2,lshd,l,shd,33,49,16,11,124,14,51,18,12,74,12
1197,36,36,N,Fernando,X2,lshd,l,shd,33,33.5,14,9,112,9,32,14,9,54,0
1198,36,36,S,Fernando,X2,lshd,l,shd,33,42,17,12,143,14,42.5,18,10,60,0
1199,36,36,E,Fernando,X2,lshd,l,shd,33,42.5,16,10,135,9,44,18,11,97,2
1200,36,36,W,Fernando,X2,lshd,l,shd,33,40,16,12,135,11,39,17,11,63,0
1201,37,37,N,Fernando,X2,lshd,l,shd,33,40,14,9,116,9,40,15,9,69,8
1202,37,37,S,Fernando,X2,lshd,l,shd,33,37,16,9,81,13,48,18,7,68,12
1203,37,37,E,Fernando,X2,lshd,l,shd,33,40,17,11,65,11,31,13,8,32,7
1204,37,37,W,Fernando,X2,lshd,l,shd,33,36.5,13,7,64,12,40,15,7,64,16
